SAMPLE	hap1	hap2	hap1_TandemRepeat	hap2_TandemRepeat	BAM_fofn
86718_ANA	/net/eichler/vol27/projects/marmoset/nobackups/asm/86718_ANA.hifiasm.bp.hap1.p_ctg.gfa.fasta	/net/eichler/vol27/projects/marmoset/nobackups/asm/86718_ANA.hifiasm.bp.hap2.p_ctg.gfa.fasta	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/86718_ANA_hap1/tandem_repeat.sorted.bed	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/86718_ANA_hap2/tandem_repeat.sorted.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/86718_ANA.mCG.fofn
AG07107_MMU	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/AG07107_MMU_hap1/genome.fasta	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/AG07107_MMU_hap2/genome.fasta	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/AG07107_MMU_hap1/mock_tr.bed	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/AG07107_MMU_hap2/mock_tr.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/AG07107_MMU.mCG.fofn
AG05252_PPY	/net/eichler/vol26/projects/ont_sunk_asm/nobackups/assemblies/HiFiAsm/for_glennis/AG05252_PPY/squashed/AG05252_PPY.hifiasm.bp.hap1.p_ctg.gfa.fasta	/net/eichler/vol26/projects/ont_sunk_asm/nobackups/assemblies/HiFiAsm/for_glennis/AG05252_PPY/squashed/AG05252_PPY.hifiasm.bp.hap2.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/AG05252_PPY.mCG.fofn
Clint_PTR	/net/eichler/vol26/projects/ont_sunk_asm/nobackups/assemblies/HiFiAsm/for_glennis/Clint/squashed/Clint.hifiasm.bp.hap1.p_ctg.gfa.fasta	/net/eichler/vol26/projects/ont_sunk_asm/nobackups/assemblies/HiFiAsm/for_glennis/Clint/squashed/Clint.hifiasm.bp.hap2.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/Clint_PTR.mCG.fofn
DRT_2020	/net/eichler/vol28/projects/long_read_archive/nobackups/nhp/DRT_2020_14_TGE/assemblies/hifiasm/0.15.2/DRT_2020_14.hifiasm.bp.hap1.p_ctg.gfa.fasta	/net/eichler/vol28/projects/long_read_archive/nobackups/nhp/DRT_2020_14_TGE/assemblies/hifiasm/0.15.2/DRT_2020_14.hifiasm.bp.hap2.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/DRT_2020.mCG.fofn
Jim_GGO	/net/eichler/vol26/projects/primate_sv/nobackups/hifiasm/Jim_GGO/trio/0.16.1/Jim_GGO.hifiasm.dip.hap1.p_ctg.gfa.fasta	/net/eichler/vol26/projects/primate_sv/nobackups/hifiasm/Jim_GGO/trio/0.16.1/Jim_GGO.hifiasm.dip.hap2.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/Jim_GGO.mCG.fofn
PR00251_PPA	/net/eichler/vol26/projects/primate_sv/nobackups/hifiasm/PR00251_PPA/trio/0.16.1/PR00251_PPA.hifiasm.dip.hap1.p_ctg.gfa.fasta	/net/eichler/vol26/projects/primate_sv/nobackups/hifiasm/PR00251_PPA/trio/0.16.1/PR00251_PPA.hifiasm.dip.hap2.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/PR00251_PPA.mCG.fofn
AG18354_PTR	/net/eichler/vol26/15000/nobackups/arozan3/assembly/AG18354_PTR/hifiasm/AG18354_PTR.hifiasm.bp.hap1.p_ctg.gfa.fasta	/net/eichler/vol26/15000/nobackups/arozan3/assembly/AG18354_PTR/hifiasm/AG18354_PTR.hifiasm.bp.hap2.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/AG18354_PTR.mCG.fofn
CJ1700_CJA	/net/eichler/vol28/projects/long_read_archive/nobackups/nhp/CJ1700_CJA/assemblies/hifiasm/0.15.2/CJ1700_CJA.hifiasm.bp.hap1.p_ctg.gfa.fasta	/net/eichler/vol28/projects/long_read_archive/nobackups/nhp/CJ1700_CJA/assemblies/hifiasm/0.15.2/CJ1700_CJA.hifiasm.bp.hap2.p_ctg.gfa.fasta	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/CJ1700_CJA.mCG.fofn
HG00733	/net/eichler/vol27/projects/methylation_ds/nobackups/hifiasm/HG00733/HG00733.hifiasm.dip.pat.p_ctg.gfa.fasta	/net/eichler/vol27/projects/methylation_ds/nobackups/hifiasm/HG00733/HG00733.hifiasm.dip.mat.p_ctg.gfa.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/HG00733.mCG.fofn
Inina_MMUR	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/Inina_MMUR_hap1/genome.fasta	/net/eichler/vol27/projects/marmoset/nobackups/repeatmask/Inina_MMUR_hap2/genome.fasta	mock.bed	mock.bed	/net/eichler/vol27/projects/marmoset/nobackups/methylation/species_hifi_methylation/bam_fofn/Inina_MMUR.mCG.fofn
